Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
Aug-04,1076,1080,958.55,987.95,12542527,241123,12450977846,3123233,24.9,121.45,-88.05
Sep-04,988.5,1056,978.25,1027.1,12816574,308335,13008843679,2904311,22.66,77.75,38.6
Oct-04,1029.8,1198,1027,1154.35,10924277,288796,12143037094,2991349,27.38,171,124.55
Nov-04,1158.35,1287,1142,1275,5113863,153271,6144482490,1427061,27.91,145,116.65
Dec-04,1280,1338,1193,1335.5,5999763,171169,7519573186,1663377,27.72,145,55.5
Jan-05,1349.8,1367.8,1205,1300.65,8757911,220828,11358497887,1970049,22.49,162.8,-49.15
Feb-05,1305,1420,1288,1380.9,4751835,126613,6429868218,1355808,28.53,132,75.9
Mar-05,1378,1475,1351.1,1432.75,4209516,109802,5969400779,1303129,30.96,123.9,54.75
Apr-05,1430,1456,1091,1130.25,9162786,207964,11091703588,2640210,28.81,365,-299.75
May-05,1130,1343.95,1105.1,1335.2,6011098,127111,7257036657,2090697,34.78,238.85,205.2
Jun-05,1329.8,1359,1260,1351.9,5110940,106936,6646799909,1649861,32.28,99,22.1
Jul-05,1350.8,1370,1219.1,1269.15,4278707,88728,5545469812,1635608,38.23,150.9,-81.65
Aug-05,1270,1416,1240.6,1405.85,4218988,87243,5547330775,1680680,39.84,175.4,135.85
Sep-05,1404.7,1492,1377,1481.25,4354534,88588,6276745421,1554938,35.71,115,76.55
Oct-05,1490,1505,1351,1400.25,5456074,101853,7860803142,1731760,31.74,154,-89.75
Nov-05,1411,1552,1388.35,1519,3415004,66229,5144670406,1601341,46.89,163.65,108
Dec-05,1520,1750.85,1516.2,1702.45,3433357,90382,5681572609,1317832,38.38,234.65,182.45
Jan-06,1707,1749,1603,1670.1,2589069,74860,4311629503,883841,34.14,146,-36.9
Feb-06,1671,1700,1607,1694.85,1844645,50438,3046562271,806357,43.71,93,23.85
Mar-06,1690.55,2005,1682.1,1914.15,5191253,91489,9558894818,3276381,63.11,322.9,223.6
Apr-06,1929,2099,1700,1986.5,4561854,151664,8822071205,2045479,44.84,399,57.5
May-06,2000,2057,1710,1782.6,2488807,117481,4734513667,1209734,48.61,347,-217.4
Jun-06,1795,1839,1455,1735.65,4559612,209593,7521140124,1801681,39.51,384,-59.35
Jul-06,1749,1920,900,936,5217563,272106,9292042878,1321789,25.33,1020,-813
Aug-06,901.2,1001.7,901.2,996.05,4103816,112254,3975678270,1934223,47.13,100.5,94.85
Sep-06,998,1058,951,1021.6,3929762,127954,3983390830,1936692,49.28,107,23.6
Oct-06,1020,1175.2,983,1084.5,6218785,178526,6652440788,2787587,44.83,192.2,64.5
Nov-06,1095,1197,1051.5,1191.85,13192447,139457,14201707008,10572583,80.14,145.5,96.85
Dec-06,1195,1225,1090.25,1218.6,3219343,115177,3751647193,1397066,43.4,134.75,23.6
Jan-07,1250,1399,1200,1278.6,5308656,151227,6910318928,2540417,47.85,199,28.6
Feb-07,1300,1350,1170,1188.45,11789065,120132,15110366665,9713783,82.4,180,-111.55
Mar-07,1200,1320,1129.85,1231.2,5703576,197300,7052855390,2506881,43.95,190.15,31.2
Apr-07,1223,1330,1171.1,1265.7,7912825,191302,9717528930,4734403,59.83,158.9,42.7
May-07,1275,1299.5,1205,1208.6,5145095,119772,6439599618,3162621,61.47,94.5,-66.4
Jun-07,1220,1244,1118.2,1149.25,8294726,129136,9571785610,6526142,78.68,125.8,-70.75
Jul-07,1152,1200,1100.7,1158.45,5589842,152565,6458581469,3078083,55.07,99.3,6.45
Aug-07,1145,1188.4,998,1065,5316455,170450,5767297677,2721566,51.19,190.4,-80
Sep-07,1071,1086.9,978,1056.75,6071024,145327,6251043855,3739885,61.6,108.9,-14.25
Oct-07,1060,1151,1000,1037.9,9233756,178475,9910718383,5708183,61.82,151,-22.1
Nov-07,1065,1065,935,1013.95,4331622,116642,4298818430,2483237,57.33,130,-51.05
Dec-07,1015,1124.95,1002.2,1083.35,4825410,75479,5081869467,3243423,67.22,122.75,68.35
Jan-08,1065.1,1078,730,875.25,3767470,124675,3489931708,2047076,54.34,348,-189.85
Feb-08,882,987,821.15,874.3,3630691,101134,3272191605,1818360,50.08,165.85,-7.7
Mar-08,869.5,899,755,810.9,3263125,87320,2735718110,1534738,47.03,144,-58.6
Apr-08,815,1038.7,811,919.55,5825904,183879,5357818607,2144142,36.8,227.7,104.55
